Adapter Language,Test Language,F1 Score
arabic,arabic,0.10964244692608761
arabic,bengali,0.17862638327688574
arabic,chinese,0.3942955494347674
arabic,english,0.16242209066332478
arabic,german,0.24794342745652745
arabic,greek,0.3523835552503076
arabic,korean,0.2645387127367318
arabic,portuguese,0.1901885586989267
arabic,spanish,0.2944815403460527
arabic,turkish,0.21768193653248483
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",arabic,0.3343506075489502
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",bengali,0.23240689088833122
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",chinese,0.2839000703995802
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",english,0.1712115076491281
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",german,0.3675275272726661
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",greek,0.151057476946164
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",korean,0.37086833607990016
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",portuguese,0.1788088206530664
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",spanish,0.2561931135622373
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",turkish,0.392945330354939
bengali,arabic,0.11858945744433523
bengali,bengali,0.1857193224395577
bengali,chinese,0.3804526279566398
bengali,english,0.17159502422789338
bengali,german,0.26144290850299434
bengali,greek,0.35162182191823743
bengali,korean,0.26993117229039965
bengali,portuguese,0.17216140867936414
bengali,spanish,0.268082985455353
bengali,turkish,0.26039446469938843
chinese,arabic,0.21216806286731438
chinese,bengali,0.23761822977437927
chinese,chinese,0.394036813782628
chinese,english,0.1894551121181726
chinese,german,0.3600842922247794
chinese,greek,0.37419256207285834
chinese,korean,0.3825079163132834
chinese,portuguese,0.237850605152014
chinese,spanish,0.3654937044105033
chinese,turkish,0.3585203303145065
english,arabic,0.19959831035054146
english,bengali,0.24831595803859885
english,chinese,0.2786766628181491
english,english,0.20906498223972445
english,german,0.2657390446293982
english,greek,0.3473339543376087
english,korean,0.36671236862573225
english,portuguese,0.18625788166715568
english,spanish,0.24385350928462718
english,turkish,0.30171431550019745
german,arabic,0.18789316434512837
german,bengali,0.2340503528156366
german,chinese,0.4257481060019785
german,english,0.18736805676257542
german,german,0.3438665986949954
german,greek,0.3371322595010796
german,korean,0.3152238788671479
german,portuguese,0.22198486309409185
german,spanish,0.3037101965468534
german,turkish,0.26223784442463705
greek,arabic,0.22177721945870277
greek,bengali,0.20913285624459446
greek,chinese,0.4240060464586092
greek,english,0.2105506361147695
greek,german,0.2671121924658243
greek,greek,0.34632125954538545
greek,korean,0.3268208197948849
greek,portuguese,0.21789405645663168
greek,spanish,0.2869411286504392
greek,turkish,0.28553281625019383
korean,arabic,0.26784189912948625
korean,bengali,0.2755755730497025
korean,chinese,0.436335165944297
korean,english,0.22327400162662892
korean,german,0.38087857094238414
korean,greek,0.41636065488192464
korean,korean,0.4012808780667529
korean,portuguese,0.22858339477804912
korean,spanish,0.31849688746766003
korean,turkish,0.3695982521609035
portuguese,arabic,0.13790009236529557
portuguese,bengali,0.1977461612558884
portuguese,chinese,0.3975775989755412
portuguese,english,0.18449557444274664
portuguese,german,0.26121481847773087
portuguese,greek,0.3259221778852811
portuguese,korean,0.33140363748329277
portuguese,portuguese,0.19348943364732973
portuguese,spanish,0.24745781466509628
portuguese,turkish,0.246508372061203
spanish,arabic,0.13478398567528452
spanish,bengali,0.21787968428858542
spanish,chinese,0.37162362778297287
spanish,english,0.23574586598851788
spanish,german,0.2778974117114939
spanish,greek,0.3888331620279532
spanish,korean,0.2940211598056183
spanish,portuguese,0.19449022476556993
spanish,spanish,0.2369964467281039
spanish,turkish,0.2794509687217273
turkish,arabic,0.131497450055721
turkish,bengali,0.21635892491725248
turkish,chinese,0.3251961473279047
turkish,english,0.21769620314243976
turkish,german,0.26395727581067446
turkish,greek,0.36742027799884697
turkish,korean,0.31301461854480017
turkish,portuguese,0.17206599304211237
turkish,spanish,0.22785479677509232
turkish,turkish,0.2758550389259184
