Adapter Culture,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,11.694814108817624,20.197413421623185,31.73630107788582,18.67495154418166,25.73187040541805,36.39793472540953,29.915844011954935,16.854402324890803,20.227812381353267,24.374453137558504
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",28.0035920060915,30.34467486762396,42.77252546563648,23.89735159214521,46.08427468678897,31.418650730709313,43.320883835337966,22.880541670767016,33.51882454015352,43.502900997338834
bengali,11.545303519285376,18.302522186746252,25.863018920323377,20.50725764576673,25.13336245424184,36.22186826874534,26.63222427743721,15.117094636549112,23.130687703867174,22.231337292809457
chinese,19.40812259961223,21.632054885054853,43.2195256701233,22.31926226395345,29.11395627338479,36.663922555319516,31.735197710564407,15.23044124434006,19.695384276616856,25.84549532317321
english,19.07949321958881,21.177813433950156,30.9694371932242,20.51163713487153,29.55889168096556,39.59352589102997,34.599260120261185,15.221374238473576,20.43205331474297,24.83501146598348
german,14.630554944590527,22.993435582179835,35.27178780318486,22.083917947598465,39.239315809533814,35.846019066135476,35.66856619221229,15.824800596079887,24.965778723557825,26.65138031589808
greek,21.84995915256831,22.62818705704539,32.510203873614266,19.383439494830064,39.38164189410141,36.601105289492416,41.39183525018563,17.68039063077528,26.763155249741153,22.488663106723003
korean,12.87232791040053,19.745665054972662,30.21523073049415,22.521567322964653,28.146959360333422,37.11505581802176,33.63296515889559,15.44379104032611,24.312501406063642,22.851690540571955
portuguese,23.454368404212655,23.439490262879414,23.269124858720236,23.11454328662067,32.187355370288756,38.96170441506298,42.14470253765343,15.871450100345259,21.052778468934218,25.89627785897183
spanish,27.782490603336456,29.347143092968047,34.52081956754212,28.390266772791602,48.2141712282388,42.12778541035183,47.05915708892312,24.939174229181372,42.32095345208208,43.181321758544975
turkish,24.129032601834886,28.810276557702657,29.26998459087271,24.4964659692442,39.739041584953064,35.811192213076026,47.602670482363266,20.186960783998632,27.975508212027528,34.74068326584874
